,abv,ibu,diff_g,boil_time,efficiency,ferm_total_weight,ferm_type_base_malt,ferm_type_crystal_malt,ferm_type_roasted_malt,ferm_type_other,ferm_type_extract,ferm_type_sugar,ferm_type_raw,ferm_type_acidulated_malt,ferm_type_fruit,ferm_type_gluten_free_malt,hops_type_pellet,hops_type_leaf_whole,hops_type_plug,other_type_spice,other_type_water_agt,other_type_other,other_type_fining,other_type_flavor,other_type_herb,yeast_attenuation,method_all_grain,method_biab,method_extract,method_partial_mash,yeast_form_dry,yeast_form_liquid,yeast_flocculation_high,yeast_flocculation_low,yeast_flocculation_medium
25145,8.01,84.39,0.061000000000000165,60,80.0,5.0,0.5,0.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,76.5,0,0,0,1,0,1,0,0,1
25427,8.14,90.58,0.062000000000000055,60,77.0,12.566334,11.0231,0.440924,0.220462,0.0,0.0,0.881848,0.0,0.0,0.0,0.0,0.27557750000000003,0.0,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
25466,5.56,35.38,0.04200000000000004,60,70.0,24.9562984,23.1044176,1.8518808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212541,0.0,0.0,0,0,0,1,0,0,81.0,1,0,0,0,1,0,0,0,1
25539,6.94,63.36,0.052999999999999936,60,70.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0,0,0,0,0,0,76.5,1,0,0,0,0,1,0,0,1
25557,13.48,72.64,0.10299999999999998,60,35.0,9.9,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0,0,0,0,0,0,81.0,0,0,1,0,1,0,0,0,1
25912,7.03,94.42,0.052999999999999936,60,70.0,12.43,0.0,0.4375,2.3125,0.0,8.299999999999999,0.0,1.375,0.0,0.0,0.0,0.1875,0.0,0.0,0,1,0,1,1,0,75.0,0,0,0,1,0,1,0,0,1
26184,4.25,52.25,0.03200000000000003,90,70.0,9.6341894,9.479866,0.0,0.1543234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661386,0.1322772,0.0,0,0,0,0,0,1,75.0,1,0,0,0,1,0,1,0,0
26285,5.64,46.77,0.04300000000000015,40,70.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0,0,0,1,0,0,81.0,1,0,0,0,1,0,0,0,1
26301,4.72,30.31,0.03600000000000003,60,35.0,6.6,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,81.0,0,0,1,0,1,0,0,0,1
26460,9.0,118.66,0.06800000000000006,60,75.0,15.25,13.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0,0,0,0,0,0,81.0,0,1,0,0,1,0,0,0,1
