ingredient,url,type,use
Blackberry Puree,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blackberry-puree/,Flavor,Secondary
Blood Orange,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blood-orange/,Flavor,Primary
Blood orange juice,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blood-orange-juice/,Flavor,Boil
Blood orange peel,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blood-orange-peel/,Flavor,Boil
Blood Orange Puree,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blood-orange-puree/,Flavor,Boil
Blood Orange zest,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blood-orange-zest/,Flavor,Boil
Blood Oranges,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blood-oranges/,Other,Primary
Blueberries,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blueberries/,Flavor,Boil
Blueberry,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blueberry/,Flavor,Primary
Blueberry Extract,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blueberry-extract/,Flavor,Bottling
Blueberry Flavoring,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blueberry-flavoring/,Flavor,Bottling
Blueberry Puree,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/blueberry-puree/,Flavor,Secondary
Bog Myrtle,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/bog-myrtle/,Herb,Boil
"Bonaire salt, NaCl",https://www.brewersfriend.comhttps://www.brewersfriend.com/other/bonaire-salt-nacl/,Water Agt,Mash
Bourbon,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/bourbon/,Flavor,Boil
Bourbon (Evan Williams),https://www.brewersfriend.comhttps://www.brewersfriend.com/other/bourbon-evan-williams/,Flavor,Secondary
Bourbon Oak Chips,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/bourbon-oak-chips/,Flavor,Secondary
Bourbon Oak Cubes,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/bourbon-oak-cubes/,Flavor,Secondary
Bourbon Soaked Oak,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/bourbon-soaked-oak/,Flavor,Secondary
Bourbon Soaked Oak Chips,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/bourbon-soaked-oak-chips/,Flavor,Secondary
Break bright,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/break-bright/,Fining,Boil
Brew bright,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/brew-bright/,Fining,Boil
Brew brite,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/brew-brite/,Fining,Boil
Brewbrite,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/brewbrite/,Fining,Boil
Brewed Coffee,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/brewed-coffee/,Flavor,Primary
Brewers Clarex,https://www.brewersfriend.comhttps://www.brewersfriend.com/other/brewers-clarex/,Fining,Primary
